response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0022,0.0009,0.0000,0.0001,0.0005,0.0001,200,0.0045
0.0018,0.0009,0.0000,0.0000,0.0008,0.0000,200,0.0049
0.0024,0.0013,0.0004,0.0001,0.0009,0.0001,200,0.0044
0.0019,0.0007,0.0000,0.0001,0.0011,0.0001,200,0.0049
0.0023,0.0010,0.0000,0.0001,0.0009,0.0001,200,0.0045
0.0012,0.0005,0.0000,0.0001,0.0006,0.0000,200,0.0056
0.0025,0.0017,0.0003,0.0001,0.0007,0.0000,200,0.0044
0.0023,0.0015,0.0001,0.0001,0.0007,0.0001,200,0.0046
0.0017,0.0009,0.0001,0.0000,0.0007,0.0000,200,0.0053
0.0023,0.0009,0.0002,0.0000,0.0008,0.0000,200,0.0047
0.0019,0.0009,0.0000,0.0001,0.0009,0.0000,200,0.0055
0.0023,0.0009,0.0000,0.0000,0.0010,0.0000,200,0.0051
0.0026,0.0011,0.0000,0.0001,0.0010,0.0000,200,0.0049
0.0018,0.0006,0.0001,0.0001,0.0011,0.0000,200,0.0057
0.0030,0.0016,0.0001,0.0000,0.0010,0.0000,200,0.0045
0.0026,0.0011,0.0000,0.0002,0.0010,0.0000,200,0.0049
0.0022,0.0011,0.0001,0.0000,0.0010,0.0001,200,0.0053
0.0018,0.0006,0.0000,0.0000,0.0010,0.0001,200,0.0058
0.0026,0.0011,0.0000,0.0002,0.0011,0.0000,200,0.0050
0.0019,0.0006,0.0000,0.0002,0.0011,0.0000,200,0.0057
0.0028,0.0014,0.0001,0.0002,0.0011,0.0001,200,0.0049
0.0009,0.0002,0.0000,0.0000,0.0006,0.0000,200,0.0068
0.0018,0.0008,0.0000,0.0000,0.0010,0.0000,200,0.0059
0.0021,0.0007,0.0001,0.0002,0.0012,0.0000,200,0.0056
0.0019,0.0008,0.0000,0.0000,0.0010,0.0000,200,0.0059
0.0022,0.0011,0.0001,0.0000,0.0010,0.0000,200,0.0056
0.0019,0.0006,0.0000,0.0000,0.0012,0.0000,200,0.0059
